"Date	Julian_Day	Data",,,,年,月,平均,,计算表,1,2,3,4,5,6,7,8,9,10,11,12,,,各年一月,src-1,src1+src2,
"1993-11-00	2449307	-12.230",,,,1993,11,-12.23,,,,,,,,,,,,,,,,,,,,
"1993-12-00	2449337	-19.816",,,,1993,12,-19.816,,,,,,,,,,,,,,,,,,,,
"1994-01-00	2449368	-22.416",,,,1994,1,-22.416,,,,,,,,,,,,,,,,,,,,
"1994-02-00	2449399	-17.629",,,,1994,2,-17.629,,,,,,,,,,,,,,,,,,,,
"1994-03-00	2449427	-11.226",,,,1994,3,-11.226,,,,,,,,,,,,,,,,,,,,
"1994-04-00	2449458	-2.553",,,,1994,4,-2.553,,,,,,,,,,,,,,,,,,,,
"1994-05-00	2449488	5.600",,,,1994,5,5.6,,,,,,,,,,,,,,,,,,,,
"1994-06-00	2449519	13.540",,,,1994,6,13.54,,,,,,,,,,,,,,,,,,,,
"1994-07-00	2449549	14.358",,,,1994,7,14.358,,,,,,,,,,,,,,,,,,,,
"1994-08-00	2449580	11.955",,,,1994,8,11.955,,,,,,,,,,,,,,,,,,,,
"1994-09-00	2449611	5.300",,,,1994,9,5.3,,,,,,,,,,,,,,,,,,,,
"1994-10-00	2449641	-0.055",,,,1994,10,-0.055,,,,,,,,,,,,,,,,,,,,
"1994-11-00	2449672	-3.890",,,,1994,11,-3.89,,,,,,,,,,,,,,,,,,,,
"1994-12-00	2449702	-15.723",,,,1994,12,-15.723,,,,,,,,,,,,,,,,,,,,
"1995-01-00	2449733	-24.219",,,,1995,1,-24.219,,,,,,,,,,,,,,,,,,,,
"1995-02-00	2449764	-18.339",,,,1995,2,-18.339,,,,,,,,,,,,,,,,,,,,
"1995-03-00	2449792	-10.519",,,,1995,3,-10.519,,,,,,,,,,,,,,,,,,,,
"1995-04-00	2449823	-0.320",,,,1995,4,-0.32,,,,,,,,,,,,,,,,,,,,
"1995-05-00	2449853	4.997",,,,1995,5,4.997,,,,,,,,,,,,,,,,,,,,
"1995-06-00	2449884	11.283",,,,1995,6,11.283,,,,,,,,,,,,,,,,,,,,
"1995-07-00	2449914	14.574",,,,1995,7,14.574,,,,,,,,,,,,,,,,,,,,
"1995-08-00	2449945	12.635",,,,1995,8,12.635,,,,,,,,,,,,,,,,,,,,
"1995-09-00	2449976	9.000",,,,1995,9,9,,,,,,,,,,,,,,,,,,,,
"1995-10-00	2450006	0.755",,,,1995,10,0.755,,,,,,,,,,,,,,,,,,,,
"1995-11-00	2450037	-5.050",,,,1995,11,-5.05,,,,,,,,,,,,,,,,,,,,
"1995-12-00	2450067	-18.155",,,,1995,12,-18.155,,,,,,,,,,,,,,,,,,,,
"1996-01-00	2450098	-25.968",,,,1996,1,-25.968,,,,,,,,,,,,,,,,,,,,
"1996-02-00	2450129	-18.607",,,,1996,2,-18.607,,,,,,,,,,,,,,,,,,,,
"1996-03-00	2450158	-13.374",,,,1996,3,-13.374,,,,,,,,,,,,,,,,,,,,
"1996-04-00	2450189	-3.950",,,,1996,4,-3.95,,,,,,,,,,,,,,,,,,,,
"1996-05-00	2450219	7.200",,,,1996,5,7.2,,,,,,,,,,,,,,,,,,,,
"1996-06-00	2450250	12.020",,,,1996,6,12.02,,,,,,,,,,,,,,,,,,,,
"1996-07-00	2450280	15.452",,,,1996,7,15.452,,,,,,,,,,,,,,,,,,,,
"1996-08-00	2450311	12.519",,,,1996,8,12.519,,,,,,,,,,,,,,,,,,,,
"1996-09-00	2450342	6.900",,,,1996,9,6.9,,,,,,,,,,,,,,,,,,,,
"1996-10-00	2450372	-1.019",,,,1996,10,-1.019,,,,,,,,,,,,,,,,,,,,
"1996-11-00	2450403	-7.900",,,,1996,11,-7.9,,,,,,,,,,,,,,,,,,,,
"1996-12-00	2450433	-14.874",,,,1996,12,-14.874,,,,,,,,,,,,,,,,,,,,
"1997-01-00	2450464	-19.823",,,,1997,1,-19.823,,,,,,,,,,,,,,,,,,,,
"1997-02-00	2450495	-19.639",,,,1997,2,-19.639,,,,,,,,,,,,,,,,,,,,
"1997-03-00	2450523	-6.116",,,,1997,3,-6.116,,,,,,,,,,,,,,,,,,,,
"1997-04-00	2450554	4.500",,,,1997,4,4.5,,,,,,,,,,,,,,,,,,,,
"1997-05-00	2450584	9.474",,,,1997,5,9.474,,,,,,,,,,,,,,,,,,,,
"1997-06-00	2450615	13.140",,,,1997,6,13.14,,,,,,,,,,,,,,,,,,,,
"1997-07-00	2450645	14.458",,,,1997,7,14.458,,,,,,,,,,,,,,,,,,,,
"1997-08-00	2450676	12.884",,,,1997,8,12.884,,,,,,,,,,,,,,,,,,,,
"1997-09-00	2450707	9.500",,,,1997,9,9.5,,,,,,,,,,,,,,,,,,,,
"1997-10-00	2450737	5.184",,,,1997,10,5.184,,,,,,,,,,,,,,,,,,,,
"1997-11-00	2450768	-10.237",,,,1997,11,-10.237,,,,,,,,,,,,,,,,,,,,
"1997-12-00	2450798	-17.158",,,,1997,12,-17.158,,,,,,,,,,,,,,,,,,,,
"1998-01-00	2450829	-26.142",,,,1998,1,-26.142,,,,,,,,,,,,,,,,,,,,
"1998-02-00	2450860	-14.161",,,,1998,2,-14.161,,,,,,,,,,,,,,,,,,,,
