"Date	Julian_Day	Data"
"2004-09-00	2453264	7.500"
"2004-10-00	2453294	0.452"
"2004-11-00	2453325	-8.347"
"2004-12-00	2453355	-18.287"
"2005-01-00	2453386	-24.303"
"2005-02-00	2453417	-22.604"
"2005-03-00	2453445	-7.752"
"2005-04-00	2453476	-1.260"
"2005-05-00	2453506	6.277"
"2005-06-00	2453537	12.690"
"2005-07-00	2453567	14.745"
"2005-08-00	2453598	13.139"
"2005-09-00	2453629	9.200"
"2005-10-00	2453659	2.377"
"2005-11-00	2453690	-8.567"
"2005-12-00	2453720	-20.268"
"2006-01-00	2453751	-22.258"
"2006-02-00	2453782	-17.654"
"2006-03-00	2453810	-10.806"
"2006-04-00	2453841	-1.367"
"2006-05-00	2453871	6.161"
"2006-06-00	2453902	13.007"
"2006-07-00	2453932	13.916"
"2006-08-00	2453963	12.626"
"2006-09-00	2453994	8.500"
"2006-10-00	2454024	1.000"
"2006-11-00	2454055	-3.377"
"2006-12-00	2454085	-13.006"
